id.tender;id.lot;date;id.procurer;id.bidder;cpv;good;procedure;threshold;count;expected.value;round.0;round.3;quantity;measurement
UA-2016-07-06-000270-b;UA-2016-07-06-000270-b-L1;06.07.2016;33327130;23293849;30100000-0 Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів;Офісна бумага для чорно-білої лазерної печаті А4, 80 г/м2, клас С + формат;Допорогова закупівля;Допороги;2;3775;3210;3135;50;упаковка
UA-2016-07-06-000084-c;UA-2016-07-06-000084-c-L1;06.07.2016;30212155;25394112;30197630-1 Папір для друку;Папір Laser, copier біла А4 (210 мм х 297 мм), 80 г/м2;Допорогова закупівля;Допороги;3;8000;5950;5946;100;пачок
UA-2016-07-07-000039-a;UA-2016-07-07-000039-a-L1;07.07.2016;37979894;25394112;30197630-1 Папір для друку;Папір офісний формату А4 (детальна інформація в додатках до оголошення);Допорогова закупівля;Допороги;2;3105;2770;2716;45;упаковка
UA-2016-07-07-000407-c;UA-2016-07-07-000407-c-L1;07.07.2016;5499116;39417349;30197630-1 Папір для друку;Папір для друку А4 80 г/м2, 500 арк. в пачці;Допорогова закупівля;Допороги;3;3250;2822;2769;45;пачок
UA-2016-07-08-000149-a;UA-2016-07-08-000149-a-L1;08.07.2016;40351983;3307207495;30197630-1 Папір для друку;А4 білий,210*297, 500 аркушів;Допорогова закупівля;Допороги;2;3250;3133;3098;50;штуки
UA-2016-07-08-000267-c;UA-2016-07-08-000267-c-L1;08.07.2016;37941997;39417349;30197000-6 Дрібне канцелярське приладдя;папір білий (Xerox Performer або його аналог) формат А4(210х297),запакований у пачках по 500 листів, щільність 80 г/м2;Допорогова закупівля;Допороги;6;20400;18558;17816;300;пачок
UA-2016-07-08-000111-b;UA-2016-07-08-000111-b-L1;08.07.2016;8564021;25394112;30197630-1 Папір для друку;Папір офісний для друку формату А4 класу С;Допорогова закупівля;Допороги;4;10005;9361;8465;145;пачок
UA-2016-07-08-000396-b;UA-2016-07-08-000396-b-L1;08.07.2016;30687118;23863399;30197630-1 Папір для друку;папір для офісу А-4;Допорогова закупівля;Допороги;2;3045;2220;2188;35;штуки
UA-2016-07-11-000132-a;UA-2016-07-11-000132-a-L1;11.07.2016;20098343;3307207495;30197630-1 Папір для друку;"Папір А4 для друку (офісний) (210мм х 297мм). Кількість аркушів в пачці: 500 аркушів; Клас аркушів: <U+2265> С; Щільність, g/m2 (ISO 536): 80; Товщина, mm/1000 (ISO 534): <U+2265> 102; Шорсткість, ml/min (ISO 8791-2): <U+2264> 250; Непрозорість, % (ISO 2471): <U+2265> 90; Білизна, % CIE (ISO 11475): <U+2265> 145; Яскравість, % (ISO 2470): <U+2265> 95;";Допорогова закупівля;Допороги;2;3150;3123;3084;50;пачок
UA-2016-07-11-000358-b;UA-2016-07-11-000358-b-L1;11.07.2016;37591417;33327611;30199000-0 Паперове канцелярське приладдя та інші паперові вироби;Папір офісний білий А4, 80г/м2 ,500 арк.;Допорогова закупівля;Допороги;4;24840;21000;19360;340;пачок
